Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
1/18/2012 9:00,52.64,203.35,1555.68
1/18/2012 10:00,64.23,212.48,1259.95
1/18/2012 11:00,55.85,213.91,1011.7
1/18/2012 12:00,56.63,215.07,778.21
1/18/2012 13:00,56.76,216.13,715.43
1/18/2012 14:00,55.95,216.5,600.76
1/18/2012 15:00,53.73,213.38,642.8
1/18/2012 16:00,51.2,204.95,579.92
1/18/2012 17:00,48.59,183.91,494.44
1/18/2012 18:00,45.98,135.41,393.92
1/18/2012 19:00,45.5,120.1,359.8
1/18/2012 20:00,44.33,113.15,321.55
1/18/2012 21:00,44.33,113.41,305.62
1/18/2012 22:00,44.33,110.98,293.22
1/18/2012 23:00,44.33,107.75,283.14
1/19/2012 0:00,44.09,108.97,321.17
1/19/2012 1:00,43.03,110.88,375.62
1/19/2012 2:00,43.03,113.08,458.06
1/19/2012 3:00,43.68,115.5,682.11
1/19/2012 4:00,43.37,135.79,872.39
1/19/2012 5:00,43.77,140.39,1186.14
1/19/2012 6:00,43.48,151.59,1521.4
1/19/2012 7:00,45.38,164.35,1445.77
1/19/2012 8:00,46.86,184.64,1289.36
1/19/2012 9:00,47.92,200.58,1067.6
1/19/2012 10:00,49.57,205.06,832.29
1/19/2012 11:00,49.78,206.88,674.82
1/19/2012 12:00,49.95,208.94,553.45
1/19/2012 13:00,49.51,213.4,536.56
1/19/2012 14:00,47.94,214.06,535.24
1/19/2012 15:00,46.82,208.5,525.14
1/19/2012 16:00,46.88,203.95,506.51
1/19/2012 17:00,47.04,183.61,420.61
1/19/2012 18:00,47.26,130.65,338.7
1/19/2012 19:00,47.32,114.05,279.92
1/19/2012 20:00,47.53,109.23,268.23
1/19/2012 21:00,47.79,107.66,244.2
1/19/2012 22:00,48.16,104.5,217.85
1/19/2012 23:00,48.68,105.62,277.51
1/20/2012 0:00,48.92,107.05,316.19
1/20/2012 1:00,49.36,108.7,355.12
1/20/2012 2:00,49.89,111.01,323.55
1/20/2012 3:00,50.39,110.61,359.15
1/20/2012 4:00,50.51,136.6,550.76
1/20/2012 5:00,50.77,140.9,825.11
1/20/2012 6:00,50.99,149.1,927.33
1/20/2012 7:00,51.3,162.76,870.95
1/20/2012 8:00,51.88,182.27,619.51
1/20/2012 9:00,52.58,197.45,513.88
1/20/2012 10:00,52.86,204.03,500.1
1/20/2012 11:00,53.51,206,463.96
1/20/2012 12:00,54.13,205.93,474.53
1/20/2012 13:00,53.87,209.47,333.72
1/20/2012 14:00,53.65,217.03,254.47
1/20/2012 15:00,53.6,213.38,246.06
1/20/2012 16:00,53.54,203.13,242.43
1/20/2012 17:00,53.71,179.3,212.77
1/20/2012 18:00,53.71,129.99,196.32
1/20/2012 19:00,53.82,115.82,190.83
1/20/2012 20:00,54.06,110.52,224.31
1/20/2012 21:00,54.3,110.4,254.82
1/20/2012 22:00,54.16,107.61,281.67
1/20/2012 23:00,53.84,105.59,278.14
1/21/2012 0:00,52.2,106.39,264.8
1/21/2012 1:00,51.86,107.52,296.82
1/21/2012 2:00,51.59,110.46,318.8
1/21/2012 3:00,50.15,109.82,318.3
1/21/2012 4:00,49.09,111.1,330.98
1/21/2012 5:00,46.5,112.55,355.68
1/21/2012 6:00,46.04,112.89,348.36
1/21/2012 7:00,46.56,112.94,331.67
1/21/2012 8:00,47.15,112.71,250.41
1/21/2012 9:00,47.68,113,200.85
1/21/2012 10:00,47.54,112.22,199.04
1/21/2012 11:00,57.03,110.76,206.09
1/21/2012 12:00,55.18,109.19,237.4
1/21/2012 13:00,52.26,108.02,236.85
1/21/2012 14:00,52.21,108.08,220.79
1/21/2012 15:00,50.7,108.24,244.87
1/21/2012 16:00,49.66,107.8,223.94
1/21/2012 17:00,46.43,107.28,188.35
1/21/2012 18:00,44.27,107.7,249.42
1/21/2012 19:00,43.03,108.83,345.27
1/21/2012 20:00,43.03,110.48,386.1
1/21/2012 21:00,43.03,111.38,383.05
1/21/2012 22:00,43.6,112.61,361.99
1/21/2012 23:00,44.33,112.64,351.45
1/22/2012 0:00,44.33,112.33,385.59
1/22/2012 1:00,44.3,112.73,351.54
1/22/2012 2:00,43.92,116.55,319.69
1/22/2012 3:00,44.33,115.41,324.86
1/22/2012 4:00,44.79,116.58,373.79
1/22/2012 5:00,45.63,116.47,376.98
1/22/2012 6:00,45.79,117.76,399.57
1/22/2012 7:00,46.31,118.99,411.85
1/22/2012 8:00,46.91,117.83,423.27
1/22/2012 9:00,46.25,116.69,387.08
1/22/2012 10:00,44.35,115.74,352.1
1/22/2012 11:00,45.66,115.19,329.24
1/22/2012 12:00,46.27,112.69,295.86
1/22/2012 13:00,49.5,111.41,327.64
1/22/2012 14:00,49.17,112.45,368.27
1/22/2012 15:00,47.68,113.03,403.44
1/22/2012 16:00,47.15,111.07,403.87
1/22/2012 17:00,47.18,109.1,358.35
1/22/2012 18:00,47.76,109,342.41
1/22/2012 19:00,48.21,109.28,300.69
1/22/2012 20:00,48.67,111.64,254.75
1/22/2012 21:00,48.08,112.91,234.09
1/22/2012 22:00,48.18,112.4,227.14
1/22/2012 23:00,48.53,111.45,230.57
1/23/2012 0:00,48.61,112.3,271.32
1/23/2012 1:00,48.77,112.91,337.28
1/23/2012 2:00,49.23,117.4,392.08
1/23/2012 3:00,49.79,117.77,417.22
1/23/2012 4:00,51.65,137.32,595.83
1/23/2012 5:00,51.36,144.54,780.44
1/23/2012 6:00,50.42,152.28,878.74
1/23/2012 7:00,50.06,165.67,819.88
1/23/2012 8:00,49.88,188.52,678.55
1/23/2012 9:00,49.78,206.49,564.72
1/23/2012 10:00,49.77,214.33,512.73
1/23/2012 11:00,50.55,218.39,576.44
1/23/2012 12:00,50.31,218.2,611.35
1/23/2012 13:00,50.79,221.1,563.99
1/23/2012 14:00,50.99,223.81,515.89
1/23/2012 15:00,51.05,219.6,463.16
1/23/2012 16:00,51.72,210.03,437.96
1/23/2012 17:00,50.31,187.32,414.84
